X	Y	default	
-2110209.710904	15421985.944002	216.84999084473	
-2110011.889276	15421896.799474	216.30226135254	
-2109814.069571	15421807.657111	215.78852844238	
-2109616.251786	15421718.516911	215.26014709473	
-2109418.435924	15421629.378876	214.71733093262	
-2109220.621983	15421540.243003	214.16049194336	
-2109022.809964	15421451.109295	213.58966064453	
-2108824.999866	15421361.97775	213.00628662109	
-2108627.191691	15421272.848368	212.4098815918	
-2108429.385437	15421183.721149	211.86260986328	
-2108231.581105	15421094.596094	211.18067932129	
-2108033.778695	15421005.473201	210.54779052734	
-2107835.978207	15420916.352471	209.90426635742	
-2107638.179641	15420827.233904	209.24940490723	
-2107440.382997	15420738.117499	208.58601379395	
-2107242.588275	15420649.003256	207.91487121582	
-2107044.795475	15420559.891176	207.23849487305	
-2106847.004598	15420470.781258	206.62629699707	
-2106649.215642	15420381.673502	205.87350463867	
-2106451.428609	15420292.567908	205.18775939941	
-2106253.643498	15420203.464475	204.50389099121	
-2106055.86031	15420114.363204	203.82698059082	
-2105858.079044	15420025.264095	203.16191101074	
-2105660.2997	15419936.167146	202.51567077637	
-2105462.522279	15419847.072359	201.89332580566	
-2105264.746781	15419757.979733	201.29443359375	
-2105066.973205	15419668.889268	200.77255249023	
-2104869.201551	15419579.800964	200.1559753418	
-2104671.431821	15419490.714821	199.60763549805	
-2104473.664013	15419401.630837	199.05766296387	
-2104275.898128	15419312.549015	198.50263977051	
-2104078.134165	15419223.469352	197.96830749512	
-2103880.372126	15419134.39185	197.4952545166	
-2103682.612009	15419045.316508	197.12049865723	
-2103484.853815	15418956.243325	196.82618713379	
-2103287.097545	15418867.172303	196.6369934082	
-2103089.343197	15418778.10344	196.59727478027	
-2102891.590772	15418689.036736	196.6637878418	
-2102693.840271	15418599.972192	196.79661560059	
-2102496.091692	15418510.909807	196.92851257324	
-2102298.345037	15418421.849581	197.01116943359	
-2102100.600305	15418332.791514	197.03601074219	
-2110694.5089	15421966.412037	217.18026733398	
-2110496.681266	15421877.265102	216.71960449219	
-2110298.855553	15421788.120332	216.29064941406	
-2110101.031761	15421698.977726	215.74703979492	
-2109903.209891	15421609.837284	215.23692321777	
-2109705.389943	15421520.699006	214.71124267578	
-2109507.571917	15421431.562892	214.17152404785	
-2109309.755812	15421342.428942	213.61660766602	
-2109111.94163	15421253.297155	213.04998779297	
-2108914.129369	15421164.167532	212.47019958496	
-2108716.31903	15421075.040072	211.87934875488	
-2108518.510613	15420985.914775	211.33728027344	
-2108320.704118	15420896.791641	210.66261291504	
-2108122.899545	15420807.67067	210.03691101074	
-2107925.096894	15420718.551863	209.40089416504	
-2107727.296166	15420629.435217	208.75526428223	
-2107529.497359	15420540.320735	208.10134887695	
