         PER         STP          DAYS         FID            Q-p-in          Q-nrd-in          Q-srd-in           Q-rd-in        Q-wells-in          Q-egw-in          Q-tgw-in          Q-ext-in          Q-tot-in          Q-ei-out          Q-ep-out         Q-egw-out          Q-ti-out          Q-tp-out         Q-tgw-out         Q-run-out          Q-dp-out         Q-nrd-out         Q-srd-out          Q-rd-out       Q-wells-out         Q-tot-out          Q-in-out  Q-Discrepancy[%]            V-p-in          V-nrd-in          V-srd-in           V-rd-in        V-wells-in          V-egw-in          V-tgw-in          V-ext-in          V-tot-in          V-ei-out          V-ep-out         V-egw-out          V-ti-out          V-tp-out         V-tgw-out         V-run-out          V-dp-out         V-nrd-out         V-srd-out          V-rd-out       V-wells-out         V-tot-out          V-in-out  V-Discrepancy[%]
           1           1         15.21           1        10867.5000            0.0000            0.0000            0.0000            0.0000            0.0000          490.7417            0.0000        11358.2417            0.0000          325.4510            0.0000            0.0000         1578.4826          490.7417         4355.3042         4608.2621            0.0000            0.0000            0.0000            0.0000        11358.2417            0.0000            0.0000       165294.6754            0.0000            0.0000            0.0000            0.0000            0.0000         7464.1817            0.0000       172758.8571            0.0000         4950.1103            0.0000            0.0000        24008.7210         7464.1817        66244.1777        70091.6665            0.0000            0.0000            0.0000            0.0000       172758.8571            0.0000            0.0000
           1           1         15.21           2         4657.5000            0.0000            0.0000            0.0000            0.0000            0.0000          746.2776            0.0000         5403.7776            0.0000          132.0214            0.0000            0.0000          972.7134          746.2776         1855.0997         1697.6655            0.0000            0.0000            0.0000            0.0000         5403.7776            0.0000            0.0000        70840.5752            0.0000            0.0000            0.0000            0.0000            0.0000        11350.8826            0.0000        82191.4578            0.0000         2008.0460            0.0000            0.0000        14794.9708        11350.8826        28216.0664        25821.4920            0.0000            0.0000            0.0000            0.0000        82191.4578            0.0000            0.0000
           1           1         15.21           3         8280.0000            0.0000            0.0000            0.0000            0.0000            0.0000          290.4374            0.0000         8570.4374            0.0000          262.8444            0.0000            0.0000          219.1839          290.4374         3623.0387         4174.9330            0.0000            0.0000            0.0000            0.0000         8570.4374            0.0000            0.0000       125938.8003            0.0000            0.0000            0.0000            0.0000            0.0000         4417.5528            0.0000       130356.3531            0.0000         3997.8633            0.0000            0.0000         3333.7878         4417.5528        55106.4182        63500.7310            0.0000            0.0000            0.0000            0.0000       130356.3531            0.0000            0.0000
           1           1         15.21           4         7762.5000            0.0000            0.0000            0.0000            0.0000            0.0000         1299.0693            0.0000         9061.5693            0.0000          229.6183            0.0000            0.0000         1059.7046         1299.0693         3317.2246         3155.9525            0.0000            0.0000            0.0000            0.0000         9061.5693            0.0000            0.0000       118067.6253            0.0000            0.0000            0.0000            0.0000            0.0000        19758.8448            0.0000       137826.4701            0.0000         3492.4936            0.0000            0.0000        16118.1076        19758.8448        50454.9862        48002.0379            0.0000            0.0000            0.0000            0.0000       137826.4701            0.0000            0.0000
           1           1         15.21           5         6210.0000            0.0000            0.0000            0.0000            0.0000            0.0000            0.0000            0.0000         6210.0000            0.0000          184.7291            0.0000            0.0000         1321.1115            0.0000         2301.5485         2402.6109            0.0000            0.0000            0.0000            0.0000         6210.0000            0.0000            0.0000        94454.1002            0.0000            0.0000            0.0000            0.0000            0.0000            0.0000            0.0000        94454.1002            0.0000         2809.7295            0.0000            0.0000        20094.1062            0.0000        35006.5523        36543.7123            0.0000            0.0000            0.0000            0.0000        94454.1002            0.0000            0.0000
           1           1         15.21           6        12420.0000            0.0000            0.0000            0.0000            0.0000            0.0000           92.6722            0.0000        12512.6722            0.0000         2656.2900            0.0000            0.0000            0.1330           92.6722         6834.5039         2929.0731            0.0000            0.0000            0.0000            0.0000        12512.6722            0.0000            0.0000       188908.2005            0.0000            0.0000            0.0000            0.0000            0.0000         1409.5448            0.0000       190317.7453            0.0000        40402.1710            0.0000            0.0000            2.0230         1409.5448       103952.8045        44551.2019            0.0000            0.0000            0.0000            0.0000       190317.7453            0.0000            0.0000
           1           1         15.21           7       174915.0000            0.0000            0.0000            0.0000            0.0000            0.0000         9627.7653            0.0000       184542.7653            0.0000        13718.0680            0.0000            0.0000        27221.1752         9627.7653       112539.6357        21436.1211            0.0000            0.0000            0.0000            0.0000       184542.7653            0.0000            0.0000      2660457.1567            0.0000            0.0000            0.0000            0.0000            0.0000       146438.3102            0.0000      2806895.4669            0.0000       208651.8148            0.0000            0.0000       414034.0765       146438.3102      1711727.8629       326043.4025            0.0000            0.0000            0.0000            0.0000      2806895.4669        8.8534E-10            0.0000
           1           1         15.21           8        12937.5000            0.0000            0.0000            0.0000            0.0000            0.0000           60.3871            0.0000        12997.8871            0.0000         2229.5000            0.0000            0.0000            0.0000           60.3871         9597.0408         1110.9592            0.0000            0.0000            0.0000            0.0000        12997.8871            0.0000            0.0000       196779.3755            0.0000            0.0000            0.0000            0.0000            0.0000          918.4879            0.0000       197697.8634            0.0000        33910.6951            0.0000            0.0000            0.0000          918.4879       145970.9902        16897.6902            0.0000            0.0000            0.0000            0.0000       197697.8634            0.0000            0.0000
           1           2         30.42           1        10867.5000            0.0000            0.0000            0.0000            0.0000            0.0000          597.8399            0.0000        11465.3399            0.0000          325.4510            0.0000            0.0000         1471.3845          597.8399         4410.9537         4659.7108            0.0000            0.0000            0.0000            0.0000        11465.3399            0.0000            0.0000       330589.3508            0.0000            0.0000            0.0000            0.0000            0.0000        16557.3268            0.0000       347146.6776            0.0000         9900.2205            0.0000            0.0000        46388.4787        16557.3268       133334.7834       140965.8682            0.0000            0.0000            0.0000            0.0000       347146.6776            0.0000            0.0000
           1           2         30.42           2         4657.5000            0.0000            0.0000            0.0000            0.0000            0.0000          818.3044            0.0000         5475.8044            0.0000          132.0214            0.0000            0.0000          900.6866          818.3044         1895.2708         1729.5212            0.0000            0.0000            0.0000            0.0000         5475.8044            0.0000            0.0000       141681.1504            0.0000            0.0000            0.0000            0.0000            0.0000        23797.2925            0.0000       165478.4429            0.0000         4016.0921            0.0000            0.0000        28494.4142        23797.2925        57043.1348        52127.5092            0.0000            0.0000            0.0000            0.0000       165478.4429            0.0000            0.0000
