Name,Time,X,Y,Layer,Observed,Computed,Weight,Group,Residual
EF-6,122.000000,2273242.691232,10433120.857663,11,2.718000e+01,5.014780e+01,1.000000,1,-2.296780e+01
EF-6,395.000000,2273242.691232,10433120.857663,11,2.169000e+01,4.871077e+01,1.000000,1,-2.702077e+01
EF-6,851.000000,2273242.691232,10433120.857663,11,2.801000e+01,3.115838e+01,1.000000,1,-3.148378e+00
EF-6,1215.000000,2273242.691232,10433120.857663,11,2.027000e+01,3.039445e+01,1.000000,1,-1.012445e+01
EF-6,1471.000000,2273242.691232,10433120.857663,11,2.039000e+01,3.278357e+01,1.000000,1,-1.239357e+01
EF-6,1830.000000,2273242.691232,10433120.857663,11,2.101000e+01,3.848190e+01,1.000000,1,-1.747190e+01
EF-6,2523.000000,2273242.691232,10433120.857663,11,2.095000e+01,5.073109e+01,1.000000,1,-2.978109e+01
EF-6,2916.000000,2273242.691232,10433120.857663,11,4.106000e+01,5.661715e+01,1.000000,1,-1.555715e+01
EF-6,3063.000000,2273242.691232,10433120.857663,11,4.049000e+01,5.827874e+01,1.000000,1,-1.778874e+01
EF-6,3593.000000,2273242.691232,10433120.857663,11,5.663000e+01,6.297365e+01,1.000000,1,-6.343653e+00
EF-6,3961.000000,2273242.691232,10433120.857663,11,6.513000e+01,6.467213e+01,1.000000,1,4.578697e-01
EF-6,4133.000000,2273242.691232,10433120.857663,11,3.964000e+01,6.514948e+01,1.000000,1,-2.550948e+01
EF-6,4527.000000,2273242.691232,10433120.857663,11,7.079000e+01,6.587842e+01,1.000000,1,4.911578e+00
EF-6,4882.000000,2273242.691232,10433120.857663,11,5.239000e+01,6.638497e+01,1.000000,1,-1.399497e+01
EF-6,5259.000000,2273242.691232,10433120.857663,11,5.522000e+01,6.674788e+01,1.000000,1,-1.152788e+01
EF-6,5812.000000,2273242.691232,10433120.857663,11,6.796000e+01,6.660682e+01,1.000000,1,1.353180e+00
EF-6,5982.000000,2273242.691232,10433120.857663,11,7.164000e+01,6.650243e+01,1.000000,1,5.137566e+00
EF-6,6353.000000,2273242.691232,10433120.857663,11,6.994000e+01,6.592086e+01,1.000000,1,4.019140e+00
EF-13,295.000000,2276692.261783,10434697.098939,12,8.211900e+02,6.488318e+02,1.000000,1,1.723582e+02
EF-19,121.000000,2273915.060991,10436574.040973,12,1.591000e+01,7.578988e+01,1.000000,1,-5.987988e+01
EF-2,299.000000,2273869.601856,10431619.211342,12,1.116000e+01,2.571895e+00,1.000000,1,8.588105e+00
EF-23,170.000000,2276049.840906,10435911.973837,12,1.020000e+00,3.277044e+00,1.000000,1,-2.257044e+00
EF-24,295.000000,2276561.626060,10435169.680274,12,2.149200e+02,2.107086e+02,1.000000,1,4.211428e+00
EF-25,302.000000,2274743.926342,10435815.210631,12,2.548510e+03,1.984008e+03,1.000000,1,5.645023e+02
EF-26,171.000000,2274048.491920,10436100.425945,12,3.171500e+02,4.085373e+02,1.000000,1,-9.138732e+01
EF-4,169.000000,2274470.524225,10431440.412097,12,7.400000e-01,3.367005e-03,1.000000,1,7.366330e-01
EF-5,172.000000,2274119.314714,10432636.681682,12,1.784000e+02,8.909018e+01,1.000000,1,8.930982e+01
GW-20A,295.000000,2276957.183291,10433789.031615,12,2.675940e+03,1.029393e+03,1.000000,1,1.646547e+03
H-56,302.000000,2275435.321485,10434308.521084,12,1.766970e+03,1.929018e+03,1.000000,1,-1.620482e+02
MW-11A,295.000000,2274426.631305,10431936.138956,12,6.003200e+02,1.050441e+02,1.000000,1,4.952759e+02
MW-4,122.000000,2277596.902846,10431375.977384,12,7.504000e+02,6.305538e+02,1.000000,1,1.198462e+02
MW-6A,170.000000,2273989.961200,10432455.777398,12,4.800000e-01,7.882188e+01,1.000000,1,-7.834188e+01
MW-8A,94.000000,2276033.012996,10435221.242882,12,2.106770e+03,1.633786e+03,1.000000,1,4.729836e+02
MW-8A,487.000000,2276033.012996,10435221.242882,12,1.196100e+03,1.673137e+03,1.000000,1,-4.770369e+02
MW-9,170.000000,2277033.770472,10435224.060540,12,2.500000e-01,1.319305e+00,1.000000,1,-1.069305e+00
OW-UT-9,170.000000,2276924.222722,10433474.251050,12,2.474890e+03,1.412020e+03,1.000000,1,1.062870e+03
OW-UT-9,566.000000,2276924.222722,10433474.251050,12,2.467810e+03,1.546551e+03,1.000000,1,9.212594e+02
OW-UT-9,753.000000,2276924.222722,10433474.251050,12,2.551350e+03,1.665838e+03,1.000000,1,8.855116e+02
OW-UT-9,1388.000000,2276924.222722,10433474.251050,12,1.704670e+03,1.849660e+03,1.000000,1,-1.449896e+02
OW-UT-9,1607.000000,2276924.222722,10433474.251050,12,2.273840e+03,1.875474e+03,1.000000,1,3.983659e+02
OW-UT-9,1833.000000,2276924.222722,10433474.251050,12,2.616470e+03,1.894090e+03,1.000000,1,7.223800e+02
OW-UT-9,2265.000000,2276924.222722,10433474.251050,12,2.418260e+03,1.907858e+03,1.000000,1,5.104017e+02
OW-UT-9,2913.000000,2276924.222722,10433474.251050,12,2.548510e+03,1.911204e+03,1.000000,1,6.373058e+02
OW-UT-9,3062.000000,2276924.222722,10433474.251050,12,2.098280e+03,1.909638e+03,1.000000,1,1.886416e+02
OW-UT-9,3443.000000,2276924.222722,10433474.251050,12,2.607980e+03,1.903655e+03,1.000000,1,7.043248e+02
OW-UT-9,3849.000000,2276924.222722,10433474.251050,12,2.797700e+03,1.891642e+03,1.000000,1,9.060581e+02
OW-UT-9,4364.000000,2276924.222722,10433474.251050,12,2.636300e+03,1.865887e+03,1.000000,1,7.704135e+02
OW-UT-9,4527.000000,2276924.222722,10433474.251050,12,2.531520e+03,1.854509e+03,1.000000,1,6.770115e+02
OW-UT-9,4882.000000,2276924.222722,10433474.251050,12,2.324810e+03,1.829826e+03,1.000000,1,4.949836e+02
OW-UT-9,5262.000000,2276924.222722,10433474.251050,12,2.395600e+03,1.802339e+03,1.000000,1,5.932613e+02
OW-UT-9,5533.000000,2276924.222722,10433474.251050,12,2.406930e+03,1.778923e+03,1.000000,1,6.280070e+02
OW-UT-9,5902.000000,2276924.222722,10433474.251050,12,2.489050e+03,1.739712e+03,1.000000,1,7.493377e+02
OW-UT-9,6275.000000,2276924.222722,10433474.251050,12,2.474890e+03,1.691850e+03,1.000000,1,7.830402e+02
RW-1,123.000000,2276464.512424,10434170.258486,12,4.672270e+03,3.168438e+03,1.000000,1,1.503832e+03
RW-2,172.000000,2277441.765666,10434039.150926,12,1.050550e+03,5.991824e+02,1.000000,1,4.513676e+02
EF-3A,295.000000,2274132.874014,10431783.236983,12,3.992700e+02,9.799712e+00,1.000000,1,3.894703e+02
EF-3A,641.000000,2274132.874014,10431783.236983,12,5.020600e+02,9.476187e+00,1.000000,1,4.925838e+02
EF-3A,753.000000,2274132.874014,10431783.236983,12,5.485000e+02,9.199196e+00,1.000000,1,5.393008e+02
EF-3A,1292.000000,2274132.874014,10431783.236983,12,5.521800e+02,5.373453e+00,1.000000,1,5.468065e+02
EF-3A,1753.000000,2274132.874014,10431783.236983,12,7.107500e+02,3.144452e+00,1.000000,1,7.076055e+02
EF-3A,1964.000000,2274132.874014,10431783.236983,12,6.994300e+02,2.441643e+00,1.000000,1,6.969884e+02
EF-3A,2523.000000,2274132.874014,10431783.236983,12,7.220800e+02,1.176134e+00,1.000000,1,7.209039e+02
EF-3A,2643.000000,2274132.874014,10431783.236983,12,5.861600e+02,1.011509e+00,1.000000,1,5.851485e+02
EF-3A,3062.000000,2274132.874014,10431783.236983,12,5.125300e+02,5.794046e-01,1.000000,1,5.119506e+02
EF-3A,3596.000000,2274132.874014,10431783.236983,12,6.796000e+02,2.742782e-01,1.000000,1,6.793257e+02
EF-3A,3961.000000,2274132.874014,10431783.236983,12,7.787100e+02,1.649563e-01,1.000000,1,7.785450e+02
